ubigeo;distrito;centro_poblado;region_natural;altitud_msnm;pob_2017;categoria_ign;lon;lat;fuente_coord
060608;San Andrés De Cutervo;Gramalote;Yunga fluvial;2201;227;CASERÃO;-78.68540656399995;-6.231133302999979;IGN
060608;San Andrés De Cutervo;El Molino;Yunga fluvial;2144;167;CASERÃO;-78.70404928699998;-6.245183133999944;IGN
060608;San Andrés De Cutervo;Shahuin;Yunga fluvial;2242;129;CASERÃO;-78.70636328199998;-6.227146483999945;IGN
060608;San Andrés De Cutervo;La Union;Yunga fluvial;2140;108;;;;
060608;San Andrés De Cutervo;Santa Rosa De La Viña;Quechua;2332;89;;;;
060608;San Andrés De Cutervo;Chorro Blanco;Quechua;2600;60;;-78.79069661199998;-6.210241098999973;INEI
060608;San Andrés De Cutervo;El Paraiso;Quechua;2344;27;;-78.80767636199994;-6.22105309899996;INEI
060609;San Juan De Cutervo;San Juan De Cutervo;Yunga fluvial;1645;487;PUEBLO;-78.59859570299994;-6.1741816409999615;INEI
060609;San Juan De Cutervo;Santa Cruz De La Succha;Yunga fluvial;2044;349;CASERÃO;-78.59452734399997;-6.213349608999977;INEI
060609;San Juan De Cutervo;Santa Rosa;Yunga fluvial;1903;167;CASERÃO;-78.60361914099997;-6.171015624999939;INEI
060609;San Juan De Cutervo;La Libertad;Yunga fluvial;1768;162;CASERÃO;-78.58433203099997;-6.1858183589999385;INEI
060609;San Juan De Cutervo;Amachonga;Yunga fluvial;1842;156;CASERÃO;-78.59817187499993;-6.200404296999977;INEI
060609;San Juan De Cutervo;Musungate;Yunga fluvial;1636;112;;;;
060609;San Juan De Cutervo;Nuevo Progreso;Yunga fluvial;1832;97;CASERÃO;-78.62832440199998;-6.17665311199994;IGN
060609;San Juan De Cutervo;Valle La Sada;Yunga fluvial;2051;54;;;;
060609;San Juan De Cutervo;Paraiso;Yunga fluvial;1543;47;CASERÃO;-78.60793749999993;-6.151158202999966;INEI
060609;San Juan De Cutervo;Pillica;Yunga fluvial;1554;36;ANEXO;-78.59975781199995;-6.162138671999969;INEI
060609;San Juan De Cutervo;Toreador;Yunga fluvial;1911;36;ANEXO;-78.59540234299999;-6.191648436999969;INEI
